"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3596","Login Test for: Standard User","chromium","Tue Apr 21 12:31:54 UTC 2026","passed","Tue Apr 21 12:31:58 UTC 2026","","saucedemo.spec.ts","",""
"","844","Should be able to fetch a list of posts via API","webkit","Tue Apr 21 12:33:09 UTC 2026","passed","Tue Apr 21 12:33:10 UTC 2026","","api_example.spec.ts","",""
"","17549","Purchase journey with random user data","firefox","Tue Apr 21 12:32:10 UTC 2026","passed","Tue Apr 21 12:32:28 UTC 2026","","dynamic_data.spec.ts","",""
"","9536","Standard User can complete a full purchase journey","webkit","Tue Apr 21 12:33:44 UTC 2026","passed","Tue Apr 21 12:33:53 UTC 2026","","saucedemo.spec.ts","",""
"","6372","Standard User can complete a full purchase journey","firefox","Tue Apr 21 12:32:58 UTC 2026","passed","Tue Apr 21 12:33:04 UTC 2026","","saucedemo.spec.ts","",""
"","7017","has title","chromium","Tue Apr 21 12:31:41 UTC 2026","passed","Tue Apr 21 12:31:48 UTC 2026","","example.spec.ts","",""
"","9606","get started link","webkit","Tue Apr 21 12:33:18 UTC 2026","passed","Tue Apr 21 12:33:28 UTC 2026","","example.spec.ts","",""
"","12906","get started link","firefox","Tue Apr 21 12:32:30 UTC 2026","passed","Tue Apr 21 12:32:43 UTC 2026","","example.spec.ts","",""
"","8759","Purchase journey with random user data","chromium","Tue Apr 21 12:31:40 UTC 2026","passed","Tue Apr 21 12:31:49 UTC 2026","","dynamic_data.spec.ts","",""
"","12509","Hybrid Test: Verify Product via API then check UI","firefox","Tue Apr 21 12:32:30 UTC 2026","passed","Tue Apr 21 12:32:43 UTC 2026","","hybrid_check.spec.ts","",""
"","1351","API Request Chaining: Create and then Fetch a post","chromium","Tue Apr 21 12:31:39 UTC 2026","passed","Tue Apr 21 12:31:40 UTC 2026","","api_chaining.spec.ts","",""
"","8168","Standard User can add a product to cart","webkit","Tue Apr 21 12:33:39 UTC 2026","passed","Tue Apr 21 12:33:47 UTC 2026","","saucedemo.spec.ts","",""
"","4243","Login Test for: Locked Out User","chromium","Tue Apr 21 12:31:55 UTC 2026","passed","Tue Apr 21 12:31:59 UTC 2026","","saucedemo.spec.ts","",""
"","6745","Login Test for: Problem User","firefox","Tue Apr 21 12:32:50 UTC 2026","passed","Tue Apr 21 12:32:57 UTC 2026","","saucedemo.spec.ts","",""
"","4744","Standard User can add a product to cart","chromium","Tue Apr 21 12:31:59 UTC 2026","passed","Tue Apr 21 12:32:04 UTC 2026","","saucedemo.spec.ts","",""
"","6415","Login Test for: Standard User","firefox","Tue Apr 21 12:32:43 UTC 2026","passed","Tue Apr 21 12:32:50 UTC 2026","","saucedemo.spec.ts","",""
"","1955","API Request Chaining: Create and then Fetch a post","firefox","Tue Apr 21 12:32:08 UTC 2026","passed","Tue Apr 21 12:32:10 UTC 2026","","api_chaining.spec.ts","",""
"","3324","Standard User can complete a full purchase journey","chromium","Tue Apr 21 12:32:04 UTC 2026","passed","Tue Apr 21 12:32:08 UTC 2026","","saucedemo.spec.ts","",""
"","5433","Login Test for: Locked Out User","webkit","Tue Apr 21 12:33:33 UTC 2026","passed","Tue Apr 21 12:33:39 UTC 2026","","saucedemo.spec.ts","",""
"","6781","Login Test for: Problem User","webkit","Tue Apr 21 12:33:36 UTC 2026","passed","Tue Apr 21 12:33:43 UTC 2026","","saucedemo.spec.ts","",""
"","7323","has title","webkit","Tue Apr 21 12:33:10 UTC 2026","passed","Tue Apr 21 12:33:17 UTC 2026","","example.spec.ts","",""
"","6083","Login Test for: Locked Out User","firefox","Tue Apr 21 12:32:44 UTC 2026","passed","Tue Apr 21 12:32:50 UTC 2026","","saucedemo.spec.ts","",""
